Source,Telescope,Repeater,RA,RA_err,Dec,Dec_err,GL,GB,DM,DM_ne2001,DM_ymw16,Reference
FRB20190625D,CHIME,No,07:40:04.8,0.013,+04:52:12.0,0.033,214.12,13.03,717.8831,101.3831,130.7831,https://www.chime-frb.ca/catalog
FRB20190628B,CHIME,No,16:33:55.2,0.2,+80:08:24.0,0.088,113.3,32.36,408.009,46.509,40.809,https://www.chime-frb.ca/catalog
FRB20190926B,WSRT,No,01:42:06.0,0.08,+30:58:05.0,0.08,135.48,-30.65,957.3,51,44,https://doi.org/10.1051/0004-6361/202244107
FRB20180906B,CHIME,No,12:23:00.0,0.25,+56:25:12.0,0.3,130.87,60.27,3038.058,31.358,22.658,https://www.chime-frb.ca/catalog
FRB20180916C,CHIME,No,07:08:36.0,0.23,+45:04:48.0,0.24,172.21,21.71,2252.873,73.873,86.073,https://www.chime-frb.ca/catalog
FRB20180922A,CHIME,No,22:49:09.6,0.2,+69:40:12.0,0.059,112.62,9.29,555.687,141.287,214.187,https://www.chime-frb.ca/catalog
FRB20180925A,CHIME,No,04:59:43.2,0.22,+77:59:24.0,0.26,134.29,21.05,237.742,70.642,78.742,https://www.chime-frb.ca/catalog
FRB20181013B,CHIME,No,06:28:43.2,0.23,+52:02:24.0,0.22,162.93,17.78,277.507,85.807,104.507,https://www.chime-frb.ca/catalog
FRB20181013C,CHIME,No,09:44:16.8,0.23,+34:06:00.0,0.23,191.21,49.48,1005.766,38.566,25.666,https://www.chime-frb.ca/catalog
FRB20181014C,CHIME,No,07:51:28.8,0.22,+41:35:24.0,0.23,178.11,28.36,752.1671,59.8671,63.0671,https://www.chime-frb.ca/catalog
FRB20181115A,CHIME,No,09:31:55.2,0.039,+56:24:00.0,0.18,159.11,44.2,981.613,40.013,29.813,https://www.chime-frb.ca/catalog
FRB20181117B,CHIME,No,05:24:21.6,0.19,+79:59:24.0,0.099,133.04,23.06,538.2,65,68.1,https://www.chime-frb.ca/catalog
FRB20181119B,CHIME,No,19:57:31.2,0.15,+31:07:12.0,0.13,67.76,1.09,609.1008,442.3008,500.8008,https://www.chime-frb.ca/catalog
FRB20181128C,CHIME,No,17:55:04.8,0.023,+49:42:36.0,0.2,77.0,29.2,618.35,49.15,41.75,https://www.chime-frb.ca/catalog
FRB20181215B,CHIME,No,16:59:14.4,0.17,+47:33:36.0,0.03,73.62,38.24,494.0142,40.6142,32.5142,https://www.chime-frb.ca/catalog
FRB20181219B,CHIME,No,12:03:09.6,0.19,+71:33:00.0,0.35,128.31,45.07,1952.166,37.266,29.166,https://www.chime-frb.ca/catalog
FRB20181228B,CHIME,No,16:41:43.2,0.21,+63:51:00.0,0.21,94.64,38.29,568.6506,39.9506,33.4506,https://www.chime-frb.ca/catalog
FRB20190102C,ASKAP,No,21:29:39.76,1.7e-5,-79:28:32.5,5.6e-5,312.6537,-33.4931,363.6,57.3,,"[https://doi.org/10.1038/s41586-020-2300-2, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20190111A,CHIME,No,14:28:00.0,0.15,+26:46:48.0,0.12,37.55,68.51,171.96819,21.46819,21.46819,https://www.chime-frb.ca/catalog
FRB20190115B,CHIME,No,05:07:16.8,0.2,+82:03:36.0,0.23,130.71,23.43,748.293,63.793,65.993,https://www.chime-frb.ca/catalog
FRB20190131B,CHIME,No,23:38:52.8,0.24,+11:42:36.0,0.23,96.19,-47.36,1805.729,35.629,27.529,https://www.chime-frb.ca/catalog
FRB20190206B,CHIME,No,03:19:02.4,0.25,+79:30:00.0,0.39,129.56,18.58,352.52,78.52,91.52,https://www.chime-frb.ca/catalog
FRB20190215B,CHIME,No,22:20:09.6,0.13,+45:20:24.0,0.15,97.0,-9.78,274.6295,136.2295,126.1295,https://www.chime-frb.ca/catalog
FRB20190226A,CHIME,No,03:55:19.2,0.1,+31:55:48.0,0.17,162.45,-16.49,601.5727,91.2727,107.1727,https://www.chime-frb.ca/catalog
FRB20190228B,CHIME,No,03:20:02.4,0.024,+81:56:24.0,0.21,128.12,20.61,1115.2461,71.3461,79.6461,https://www.chime-frb.ca/catalog
FRB20190301B,CHIME,No,04:38:00.0,0.23,+74:04:48.0,0.27,136.85,17.71,621.333,82.833,99.433,https://www.chime-frb.ca/catalog
FRB20190317F,CHIME,No,15:45:00.0,0.047,+47:03:00.0,0.12,75.21,50.75,1118.109,33.309,25.909,https://www.chime-frb.ca/catalog
FRB20190325C,CHIME,No,03:35:24.0,0.22,+60:10:12.0,0.22,142.01,3.52,797.83,188.43,298.23,https://www.chime-frb.ca/catalog
FRB20190327A,CHIME,No,18:45:14.4,0.16,+34:16:48.0,0.052,63.67,16.06,346.5748,88.7748,76.4748,https://www.chime-frb.ca/catalog
FRB20190401A,CHIME,No,13:07:12.0,0.19,+79:54:36.0,0.21,122.07,37.19,783.216,42.416,35.416,https://www.chime-frb.ca/catalog
FRB20190403C,CHIME,No,16:39:19.2,0.24,+58:42:00.0,0.25,88.33,39.91,935.009,38.909,31.909,https://www.chime-frb.ca/catalog
